File Name,Fiscal Year,Stripe Type,Stripe Number,Incident Date,Incident Time,Location / Plant,Department,Section,Incident Type,Injury Description,Employee Type,Vendor Name,Vendor Star Rating,Risk Type,LTI Free Days,Camera Surveillance,What Happened,Preliminary Findings,Recommendations,Severity,FY Number
"Orange Stripe#82-FY25-SMS, TSG-English.pdf",FY-25,Orange Stripe,82/FY-25,07-01-2025 Time: 09:52 AM,09:52 AM,Scrap Yard,"SMS, SSP, Bishnupur",,LTI of a contract employee,Hairline crack in the middle toe of left foot,Contractor,M/S Mahi Industries,3 Star,"Yellow Risk (C3, L4)",,Yes,,,,LTI,2025.0
"Orange Stripe#82-FY25-SMS, TSG-English.pdf",FY-25,Orange Stripe,82/FY-25,,,,,,,,,,,,,,,"1. Material handling equipment was not available in the plant for long/heavy material handling and shifting. 2. Storage racks/saddle/slipper were not available for safe storage of round bars. 3. Standard Operating Procedure (SOP) was available but found inadequate, handling this material had not bee",1. Scrap should be transported using a hydraulic-operated dala tipper. 2. Stopper such as beam should be used to prevent rolling of stacked coil or bar bundles from the vehicle during shifting or handling. 3. Only trained and authorized personnel should be deployed for material handling jobs.,LTI,2025.0
Orange Stripe#74-FY25-FME TSJ-English.pdf,FY-25,Orange Stripe,74/FY-25,03-12-2024 Time: 05:20 PM,05:20 PM,"F- Blast Furnace outrigger crane gantry platform, TSJ","Field Maintenance Electrical, One Shared Services",,LTI of a contract employee,Fracture in chest ribs,Contractor,M/S Blue Peter,4 Star,"Red Risk (C4, L5)",850 days,No,,,,LTI,2025.0
Orange Stripe#74-FY25-FME TSJ-English.pdf,FY-25,Orange Stripe,74/FY-25,,,,,,,,,,,,,,,1. Chequered plates on this side of the walkway were corrugated. 2. Illumination of the site was found sufficient.,1. Structural Integrity audits and inspection jobs should be carried out on all critical and old structures. This should be reviewed by the heads of departments on regular basis.,LTI,2025.0
Orange Stripe#73-FY25-IMMM-PP TSJ-English.pdf,FY-25,Orange Stripe,73/FY-25,02-12-2024 Time: 07:10 AM,07:10 AM,"PC-5 Conveyor, Pellet Plant, TSJ","Iron Making Mechanical Maintenance, One Shared Services",,LTI of a contract employee,Fracture in the left arm and wrist,Contractor,M/S Reddy & Sons,4 Star,"Yellow Risk (C3, L4)",269 days,No,,,,LTI,2025.0
Orange Stripe#73-FY25-IMMM-PP TSJ-English.pdf,FY-25,Orange Stripe,73/FY-25,,,,,,,,,,,,,,,1. Housekeeping and 5S of the conveyor gallery were found inappropriate. 2. Belt guard of the conveyor was not fixed properly.,1. Conveyor guards and other supporting structures should be inspected regularly to ensure they are secured and reliable. 2. Regular cleaning should be ensured for conveyor galleries to prevent pellet/material spillage accumulation.,LTI,2025.0
"Orange Stripe#81-FY25- SMS-3, TSG-Odia.pdf",FY-25,Orange Stripe,,୩-୧-୨୦୨୫,,,,,,,,,,,,,,,,LTI,2025.0
"Orange Stripe#81-FY25- SMS-3, TSG-English.pdf",FY-25,Orange Stripe,81/FY-25,03-01-2025 Time: 07:15 PM,07:15 PM,Refractory lining area,Steel Melting Shop-3,,LTI of a contract employee,Fracture in right leg,Contractor,M/s Sunita Engineers Pvt Ltd,4 Star,"Yellow Risk (C3, L4)",241 days,No,,,,LTI,2025.0
"Orange Stripe#81-FY25- SMS-3, TSG-English.pdf",FY-25,Orange Stripe,81/FY-25,,,,,,,,,,,,,,,1. Work permit was taken before starting the job. 2. IP was using all the required Personal Protective Equipment (PPE). 3. Standard Operating Procedure (SOP) was available for the job but was not being followed.,"1. Appropriate tools and equipment, such as lifting aids or mechanical devices, should be used to handle heavy bricks or materials. 2. Proper storage and stacking of bricks should be an important step of the SOP to prevent them from falling during handling.",LTI,2025.0
Orange Stripe#78-FY25-GWI LP- Odia.pdf,FY-25,Orange Stripe,,,,,,,,,,,,,,,,,,LTI,2025.0
"Orange Stripe#78-FY25-GWI, LP- English.pdf",FY-25,Orange Stripe,78/FY-25,26-12-2024 Time: 04:25 PM,04:25 PM,Scrap Yard,"Security, Pithampur Wire Plant",,LTI of a contract employee,Fracture in left hand forearm,Contractor,Balaji Security Services,,"Yellow Risk (C3, L4)",,Yes,,,,LTI,2025.0
"Orange Stripe#78-FY25-GWI, LP- English.pdf",FY-25,Orange Stripe,78/FY-25,,,,,,,,,,,,,,,1. IP was wearing all the required Personal Protective Equipment (PPEs). 2. Illumination at the site was found inadequate.,"1. Scrap yards and truck loading areas should be well-lit to reduce the risk of slip and fall, especially during late hours. 2. Non-slip steps and handrails should be installed for safe access and exit from vehicle cabin.",LTI,2025.0
Orange Stripe#77-FY25-G BF TSJ-Odia.pdf,FY-25,Orange Stripe,,୧୮-୧୨-୨୦୨୪,,,,,,,,,,,,,,,,LTI,2025.0
Orange Stripe#77-FY25-G BF TSJ-English.pdf,FY-25,Orange Stripe,77/FY-25,18-12-2024 Time: 05:55 AM,05:55 AM,Near G BF ramp,"G- Blast Furnace, Operations TSJ",Operation,LTI of a company employee,Fracture in left hand distal phalanx,Company,,,"Yellow Risk (C3, L4)",740 days,Yes,,,,LTI,2025.0
Orange Stripe#77-FY25-G BF TSJ-English.pdf,FY-25,Orange Stripe,77/FY-25,,,,,,,,,,,,,,,1. IP was driving on the wrong side of the road. 2. Condition of the road was found good. 3. Traffic was normalized.,1. Everyone should use designated crossings or traffic islands when crossing or changing lanes to reach the other side of the road safely. 2. The employees should plan to leave from home so that they have sufficient time to avoid last minute attendance Punch-In and rush.,LTI,2025.0
Orange Stripe#75-FY25-HSM TSJ-ODIA.pdf,FY-25,Orange Stripe,,୦୩-୧୨-୨୦୨୪,,,,,,,,,,,,,,,,LTI,2025.0
Orange Stripe#75-FY25-HSM TSJ-English.pdf,FY-25,Orange Stripe,75/FY-25,03-12-2024 Time: 11:35 PM,11:35 PM,"U-seal drain, Furnace-1(near Roughing Mill entrance)","Hot Strip Mill, Operations TSJ",Mill Providing and Heating (MP & H),LTI of a company employee,Swelling behind right lateral malleolus of right foot,Company,,,"Yellow Risk (C3, L4)",461 days,Yes,,,,LTI,2025.0
Orange Stripe#75-FY25-HSM TSJ-English.pdf,FY-25,Orange Stripe,75/FY-25,,,,,,,,,,,,,,,,"1. All uneven floors should be inspected and rectified. 2. Uses of mobile should be avoided during working, walking, and using staircases.",LTI,2025.0
Orange Stripe#76-FY25-BFPP-1 TSM-English.pdf,FY-25,Orange Stripe,76/FY-25,08-12-2024 Time: 1:30 PM,1:30 PM,"Boiler Furnace floor, AFBC-2","BFPP-1, Power System (TSM), One Shared Services",,LTI of two company employees and two contract employees,Burn injury on the face and palm,Company,,,"Red Risk (C4, L5)",58 days,,,,,LTI,2025.0
Orange Stripe#76-FY25-BFPP-1 TSM-English.pdf,FY-25,Orange Stripe,76/FY-25,,,,,,,,,,,,,,,1. Using Charcoal mixed with LDO was the violation of Standard Operating Procedure (SOP). 2. IPs were not wearing appropriate PPEs.,"1. Strict adherence to all SOPs related to operation and maintenance needs to be ensured. 2. All personnel need to ensure that they are properly equipped with the required PPEs, including fire suit. 3. All critical equipment should be maintained in healthy condition. 4. Process deviation scenarios &",LTI,2025.0
Orange Stripe#72-FY25-Khopoli TSM-Odia.pdf,FY-25,Orange Stripe,,୨୯-୧୧-୨୦୨୪,,,,,,,,,,,,,,,,LTI,2025.0
Orange Stripe#72-FY25-Khopoli TSM-English.pdf,FY-25,Orange Stripe,72/FY-25,29-11-2024 Time: 04:06 PM,04:06 PM,WCRM CCL Re-coiler sleeve loader,WCRM Operation,,LTI of a contract employee,Head injury and blood contusion on the right side,Contractor,M/S Arif Mohammed,4 Star,"Yellow Risk (C3, L4)",426 days,Yes,,,,LTI,2025.0
Orange Stripe#72-FY25-Khopoli TSM-English.pdf,FY-25,Orange Stripe,72/FY-25,,,,,,,,,,,,,,,1. Work permit was taken before starting the job. 2. IP was using all the required PPEs. 3. SOP was available for the job but was not being followed. 4. IP had stepped up on the sleeve loading platform which was the violation of the SOP.,"1. Feasibility should be explored to eliminate manual intervention. WCRM- Wider Cold Rolling Mill, CCL- Colour Coated Line, SOP- Standard Operating Procedure, PPE- Personal Protective Equipment",LTI,2025.0
Orange Stripe # 56-60-FY25-Odia.pdf,FY-25,Orange Stripe,,୦୫-୧୦-୨୦୨୪,,,,,,,,,,,,,,,,LTI,2025.0
"Orange Stripe#35-FY25-Khopoli, TSM-English.pdf",FY-25,Orange Stripe,35/FY-25,01-08-2024 Time: 05:30 PM,05:30 PM,On road (from Transport dept. to Substation),Power Plant and Utility,Electrical Maintenance,LTI of a company employee,Fracture in left shoulder,Company,,,"Blue Risk (C3, L3)",,No,,,,LTI,2025.0
"Orange Stripe#35-FY25-Khopoli, TSM-English.pdf",FY-25,Orange Stripe,35/FY-25,,,,,,,,,,,,,,,1. Road found wet due to water logging owing to continuous rain.,1. Construct safe pedestrian path/platform with suitable height for passing through. 2. Area housekeeping should be enhanced to avoid any possibility of slip/trip/fall condition. 3. Training should be imparted to sensitize all employees on behavioural safety aspects.,LTI,2025.0
